"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Parathio degradation","6","6","2","0.34431","0.036788","0.2774","0.0047983","508","0.0508","P1","EC000595;EC000598"
"Biopterin metabolism","7","7","2","0.4017","0.049755","0.31562","0.0050042","112","0.0112","P2","EC000177;EC000103"
"Aminosugars metabolism","19","19","3","1.0903","0.076632","0.26357","0.0054612","285","0.0285","P3","EC00028;EC00033;EC000428"
"Tyrosine metabolism","89","89","8","5.1073","0.094539","0.1788","0.0057902","1054","0.1054","P4","EC000218;EC000219;EC000965;EC000907;EC000910;EC00028;EC000103;EC000643"
"Carbon fixation","10","10","2","0.57386","0.096208","0.41877","0.0058219","664","0.0664","P5","EC000105;EC00033"
"Purine metabolism","47","47","5","2.6971","0.10071","0.23008","0.0059084","474","0.0474","P6","EC000166;EC000108;EC00033;EC000343;EC00028"
"3-oxo-10R-octadecatrienoate beta-oxidation","11","11","2","0.63124","0.11366","0.44964","0.0061649","1507","0.1507","P7","EC000894;EC000890"
"Histidine metabolism","13","13","2","0.74601","0.15067","0.50663","0.0069657","173","0.0173","P8","EC00075;EC000484"
"Nitrogen metabolism","3","3","1","0.17216","0.1524","1","0.0070057","1215","0.1215","P9","EC00028"
"Drug metabolism - cytochrome P450","17","17","2","0.97556","0.22996","0.60378","0.0090816","1330","0.133","P10","EC000705;EC000600"
"Keratan sulfate degradation","5","5","1","0.28693","0.24108","1","0.00943","3247","0.3247","P11","EC000264"
"Vitamin B1 (thiamin) metabolism","5","5","1","0.28693","0.24108","1","0.00943","60","0.006","P12","EC000131"
"Limonene and pinene degradation","5","5","1","0.28693","0.24108","1","0.00943","1624","0.1624","P13","EC000259"
"N-Glycan Degradation","5","5","1","0.28693","0.24108","1","0.00943","2721","0.2721","P14","EC000264"
"Glycerophospholipid metabolism","50","50","4","2.8693","0.27693","0.49682","0.010655","3222","0.3222","P15","EC000448;EC00041;EC000187;EC000428"
"Prostaglandin formation from dihomo gama-linoleic acid","7","7","1","0.4017","0.32064","1","0.012388","1111","0.1111","P16","EC000197"
"Carnitine shuttle","22","22","2","1.2625","0.33185","0.69916","0.01288","615","0.0615","P17","EC0001002;EC0001014"
