"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Linoleate metabolism","34","34","9","2.9267","0.00089353","0.0036728","0.0087117","1","1e-04","P1","EC000976;EC000467;EC000468;EC000950;EC000652;EC000650;EC000786;EC000903;EC000586"
"Arachidonic acid metabolism","24","24","6","2.0659","0.0092932","0.035548","0.0089199","410","0.041","P2","EC000654;EC000257;EC000148;EC000149;EC000475;EC000586"
"Fatty Acid Metabolism","15","15","4","1.2912","0.026662","0.10951","0.0093674","658","0.0658","P3","EC000985;EC000993;EC0001016;EC000984"
"Geraniol degradation","1","1","1","0.086079","0.080357","1","0.01091","0","0","P4","EC000699"
"Prostaglandin formation from arachidonate","48","48","7","4.1318","0.082513","0.17363","0.010977","421","0.0421","P5","EC000148;EC000149;EC000564;EC000257;EC000645;EC000568;EC000843"
"Glycerophospholipid metabolism","50","50","7","4.3039","0.098286","0.19855","0.011484","1272","0.1272","P6","EC000500;EC000147;EC000475;EC000116;EC000130;EC000586;EC000187"
"Fatty acid activation","38","38","5","3.271","0.18332","0.35604","0.014689","1588","0.1588","P7","EC000985;EC000741;EC000993;EC000586;EC0001005"
"Carnitine shuttle","22","22","3","1.8937","0.25699","0.53266","0.018261","262","0.0262","P8","EC000995;EC000992;EC00016"
"Leukotriene metabolism","35","35","4","3.0128","0.30779","0.53606","0.021278","1787","0.1787","P9","EC000257;EC000956;EC000148;EC000149"
"Vitamin A (retinol) metabolism","14","14","2","1.2051","0.31199","0.68825","0.02155","2586","0.2586","P10","EC000730;EC000475"
"Phytanic acid peroxisomal oxidation","5","5","1","0.43039","0.34277","1","0.023674","1278","0.1278","P11","EC000741"
"Drug metabolism - other enzymes","26","26","3","2.238","0.34838","0.62593","0.024086","3547","0.3547","P12","EC000718;EC000728;EC000462"
"Sialic acid metabolism","17","17","2","1.4633","0.40257","0.75769","0.028506","4113","0.4113","P13","EC000500;EC000501"
"Saturated fatty acids beta-oxidation","7","7","1","0.60255","0.44468","1","0.032578","951","0.0951","P14","EC000490"
"Galactose metabolism","19","19","2","1.6355","0.45988","0.79525","0.034207","2642","0.2642","P15","EC000500;EC000501"
"De novo fatty acid biosynthesis","20","20","2","1.7216","0.48735","0.81181","0.037396","4951","0.4951","P16","EC000586;EC000809"
"Arginine and Proline Metabolism","20","20","2","1.7216","0.48735","0.81181","0.037396","4562","0.4562","P17","EC000562;EC000419"
"Omega-3 fatty acid metabolism","8","8","1","0.68863","0.48962","1","0.037675","3900","0.39","P18","EC000586"
"Pyrimidine metabolism","57","57","5","4.9065","0.49049","0.67956","0.037783","6305","0.6305","P19","EC00046;EC000279;EC000153;EC000120;EC000162"
"Alanine and Aspartate Metabolism","9","9","1","0.77471","0.53096","1","0.043197","3380","0.338","P20","EC000419"
"C21-steroid hormone biosynthesis and metabolism","48","48","4","4.1318","0.54942","0.75155","0.045965","2875","0.2875","P21","EC000175;EC000226;EC000515;EC000130"
"Androgen and estrogen biosynthesis and metabolism","24","24","2","2.0659","0.58822","0.86582","0.052502","5179","0.5179","P22","EC000175;EC000802"
"Putative anti-Inflammatory metabolites formation from EPA","11","11","1","0.94687","0.60397","1","0.055472","2289","0.2289","P23","EC000465"
"Starch and Sucrose Metabolism","11","11","1","0.94687","0.60397","1","0.055472","6107","0.6107","P24","EC000229"
"Vitamin E metabolism","26","26","2","2.238","0.63296","0.88676","0.061488","400","0.04","P25","EC000926;EC000768"
"Glycosphingolipid metabolism","26","26","2","2.238","0.63296","0.88676","0.061488","2734","0.2734","P26","EC000187;EC000116"
"Histidine metabolism","13","13","1","1.119","0.66574","1","0.069292","2173","0.2173","P27","EC000136"
"Porphyrin metabolism","14","14","1","1.2051","0.69295","1","0.076735","4467","0.4467","P28","EC000548"
"Vitamin D3 (cholecalciferol) metabolism","17","17","1","1.4633","0.76213","1","0.10093","4416","0.4416","P29","EC000325"
"Ascorbate (Vitamin C) and Aldarate Metabolism","17","17","1","1.4633","0.76213","1","0.10093","9502","0.9502","P30","EC000358"
"Aspartate and asparagine metabolism","37","37","2","3.1849","0.81463","0.95576","0.12673","8925","0.8925","P31","EC000562;EC000776"
"Urea cycle/amino group metabolism","39","39","2","3.3571","0.83751","0.96275","0.14101","8782","0.8782","P32","EC000419;EC000234"
"Tyrosine metabolism","89","89","5","7.661","0.86346","0.93825","0.16039","8950","0.895","P33","EC000234;EC000911;EC000746;EC000747;EC000822"
"Purine metabolism","47","47","2","4.0457","0.9058","0.98135","0.20293","8424","0.8424","P34","EC000108;EC000204"
"Bile acid biosynthesis","29","29","1","2.4963","0.91501","1","0.21487","2942","0.2942","P35","EC000325"
"Methionine and cysteine metabolism","29","29","1","2.4963","0.91501","1","0.21487","9692","0.9692","P36","EC000179"
"Xenobiotics metabolism","48","48","1","4.1318","0.98379","1","0.39822","9976","0.9976","P37","EC000664"
